"ID","Run","anxious","peppy","peeved","happy","tired","relaxed","sad","calm","exhausted","irritated"
"sub-CH04ER19","1",2,4,1,5,4,4,2,4,3,2
"sub-CH04ER19","4",2,4,1,4,4,4,2,4,4,2
"sub-CH04ER19","5",1,4,1,5,3,5,2,5,3,1
"sub-CH04ER19","6",1,2,1,4,4,4,2,5,5,1
"sub-CH04ER19","9",4,2,2,4,5,4,3,4,5,2
"sub-CH04OB30","1",1,3,1,4,3,5,2,5,3,2
"sub-CH04OB30","4",1,1,4,3,5,3,2,4,4,4
"sub-CH04OB30","5",1,4,1,4,3,5,1,5,3,3
"sub-CH04OB30","6",1,1,1,3,4,5,2,5,4,2
"sub-CH04OB30","9",1,1,1,1,5,4,2,4,5,2
"sub-CH05AN22","1",1,5,1,6,1,6,1,5,1,1
"sub-CH05AN22","4",1,5,2,6,2,4,1,4,1,1
"sub-CH05AN22","5",1,4,1,6,1,5,1,5,1,1
"sub-CH05AN22","6",1,4,1,5,3,5,1,5,1,1
"sub-CH05AN22","9",1,4,2,4,1,4,1,4,2,1
"sub-CH05EL08","1",1,4,1,5,2,4,1,4,1,2
"sub-CH05EL08","4",1,4,5,3,5,3,3,3,5,7
"sub-CH05EL08","5",1,4,3,4,4,4,1,5,4,4
"sub-CH05EL08","6",1,3,2,4,5,4,2,5,6,3
"sub-CH05EL08","9",1,3,3,5,6,4,3,5,6,3
"sub-CH05ER25","1",1,4,1,4,1,5,1,6,2,1
"sub-CH05ER25","4",1,2,6,1,1,2,1,3,1,4
"sub-CH05ER25","5",1,4,1,4,2,5,1,4,1,2
"sub-CH05ER25","6",1,4,2,3,3,4,1,6,2,2
"sub-CH05ER25","9",1,4,1,5,1,4,1,2,2,1
"sub-CH05NK28","1",1,3,1,4,4,6,1,7,2,1
"sub-CH05NK28","4",1,2,3,2,4,5,1,5,4,1
"sub-CH05NK28","5",1,3,1,3,4,5,1,6,3,1
"sub-CH05NK28","6",1,2,1,3,5,5,1,5,4,1
"sub-CH05NK28","9",1,3,2,3,4,4,1,5,4,1
"sub-CH06IM14","1",1,2,1,6,2,7,1,7,2,1
"sub-CH06IM14","4",1,2,1,5,3,6,1,6,3,1
"sub-CH06IM14","5",1,3,1,6,3,6,1,6,3,1
"sub-CH06IM14","6",1,3,1,6,3,6,1,7,3,1
"sub-CH06IM14","9",1,4,1,6,4,6,1,6,4,1
"sub-CH06IN24","1",2,3,1,3,4,4,4,4,4,1
"sub-CH06IN24","4",1,3,1,4,2,4,2,6,2,2
"sub-CH06IN24","5",1,3,1,3,1,5,2,5,1,1
