values,cards,winlose,winlosecolor,MoneyTrigger,ChoiceTrigger,FeedbackTrigger,TrialPractice.thisRepN,TrialPractice.thisTrialN,TrialPractice.thisN,TrialPractice.thisIndex,Trial.thisRepN,Trial.thisTrialN,Trial.thisN,Trial.thisIndex,example2.started,example2.stopped,jitter,Fixation_prac.started,Fixation_prac.stopped,Money_prac.started,Money_prac.stopped,Choice_prac.started,Choice_prac.stopped,choice_prac.keys,choice_prac.rt,FeedbackSlide_prac.started,FeedbackSlide_prac.stopped,Fixation.started,Fixation.stopped,Money.started,Money.stopped,Choice.started,Choice.stopped,choice_resp.keys,choice_resp.rt,choice_resp.started,choice_resp.stopped,Square1.started,Square1.stopped,Square2.started,Square2.stopped,MoneyWon,FeedbackSlide.started,FeedbackSlide.stopped,square5.started,square5.stopped,square4.started,square4.stopped,Break_Text.started,Break_Text.stopped,Key_Response_Break.keys,Key_Response_Break.rt,text_2.started,text_2.stopped,participant,session,EEGPort,LogFilesFolder,date,expName,psychopyVersion,frameRate,
10,5,o,#3ced1d,19,15,111,,,,,0,22,22,147,,,2.7240947571735816,,,,,,,,,,,462.48555299999134,465.21160489998874,465.1948282999947,465.6953150999907,465.6953150999907,None,2,0.6636353000067174,465.6953150999907,None,465.1948282999947,465.6953150999907,465.6953150999907,None,1140,468.3807019999949,None,466.3857983999915,468.39751279998745,468.3807019999949,None,None,None,None,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1046,Gambling,2020.1.3,59.97508634968553,
50,5,x,#ed1c24,59,55,150,,,,,0,23,23,195,,,3.4822889914772617,,,,,,,,,,,469.43719719999353,472.9347563999909,472.91798189999827,473.41834160000144,473.41834160000144,None,2,0.7657866999943508,473.41834160000144,None,472.91798189999827,473.41834160000144,473.41834160000144,None,1090,476.23720969998976,None,474.23625529999845,476.23720969998976,476.23720969998976,None,None,None,None,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1046,Gambling,2020.1.3,59.97508634968553,
10,4,x,#ed1c24,19,14,110,,,,,0,24,24,52,,,4.268523923728386,,,,,,,,,,,477.2916503999877,481.57495019999624,481.55832609999925,482.05878159998974,482.05878159998974,None,2,0.8509907999978168,482.05878159998974,None,481.55832609999925,482.05878159998974,482.05878159998974,None,1080,484.9277880000009,None,482.92909219999274,484.944625499993,484.9277880000009,None,None,None,None,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1046,Gambling,2020.1.3,59.97508634968553,
0,4,o,#3ced1d,9,4,101,,,,,0,25,25,12,,,3.414796506941128,,,,,,,,,,,485.96383159999095,489.3816894999909,489.3816894999909,489.88192109999363,489.88192109999363,None,2,0.6844222000072477,489.88192109999363,None,489.3816894999909,489.88192109999363,489.88192109999363,None,1080,492.60085639999306,None,490.6131383999891,492.6175074999919,492.60085639999306,None,None,None,None,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1046,Gambling,2020.1.3,59.97508634968553,
10,4,o,#3ced1d,19,14,111,,,,,0,26,26,42,,,3.7058928035159195,,,,,,,,,,,493.60415379999904,497.3216451999906,497.3047317999881,497.80514559999574,497.80514559999574,None,2,0.6317356999934418,497.80514559999574,None,497.3047317999881,497.80514559999574,497.80514559999574,None,1090,500.4575208999886,None,498.46189789999335,500.4740591999871,500.4575208999886,None,None,None,None,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1046,Gambling,2020.1.3,59.97508634968553,
0,4,x,#ed1c24,9,4,100,,,,,0,27,27,24,,,3.1520527985460642,,,,,,,,,,,501.5083176999906,504.66125789999205,504.66125789999205,505.16130759999214,505.16130759999214,None,2,0.539379399997415,505.16130759999214,None,504.66125789999205,505.16130759999214,505.16130759999214,None,1090,507.76358020000043,None,505.77357589999156,507.7801954999886,507.76358020000043,None,None,None,None,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1046,Gambling,2020.1.3,59.97508634968553,
10,5,o,#3ced1d,19,15,111,,,,,0,28,28,138,,,3.978316135032295,,,,,,,,,,,508.7567071999947,512.7343860999972,512.7177029999875,513.217940699993,513.217940699993,None,2,0.8319773999974132,513.217940699993,None,512.7177029999875,513.217940699993,513.217940699993,None,1100,516.0702684999997,None,514.078952099997,516.0870185999956,516.0702684999997,None,None,None,None,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1046,Gambling,2020.1.3,59.97508634968553,
10,4,x,#ed1c24,19,14,110,,,,,0,29,29,59,,,3.8535393971047656,,,,,,,,,,,517.1222764999984,520.9912380999885,520.9745750000002,521.4748441999982,521.4748441999982,None,2,0.7171832999883918,521.4748441999982,None,520.9745750000002,521.4748441999982,521.4748441999982,None,1090,524.2437974999921,None,522.2559417999873,524.2604993999994,524.2437974999921,None,None,None,None,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1046,Gambling,2020.1.3,59.97508634968553,
50,5,o,#3ced1d,59,55,151,,,,,0,30,30,174,,,4.023965202364159,,,,,,,,,,,525.2817686999915,529.3146909999923,529.2981930999958,529.7984391999926,529.7984391999926,None,2,0.8411091000016313,529.7984391999926,None,529.2981930999958,529.7984391999926,529.7984391999926,None,1140,532.6840909999883,None,530.6989988999994,532.7008193999936,532.6840909999883,None,None,None,None,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1046,Gambling,2020.1.3,59.97508634968553,
50,5,o,#3ced1d,59,55,151,,,,,0,31,31,181,,,3.9936748182878787,,,,,,,,,,,533.7265604999993,537.7218862000009,537.7050821999874,538.2055399999954,538.2055399999954,None,2,0.7313450999936322,538.2055399999954,None,537.7050821999874,538.2055399999954,538.2055399999954,None,1190,540.9576731999987,None,538.9579411000013,540.9576731999987,540.9576731999987,None,None,None,None,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1046,Gambling,2020.1.3,59.97508634968553,
10,5,o,#3ced1d,19,15,111,,,,,0,32,32,141,,,4.016790094163234,,,,,,,,,,,542.0059366999922,546.02854259999,546.0120390999946,546.5121759999893,546.5121759999893,None,2,0.7064382000098703,546.5121759999893,None,546.0120390999946,546.5121759999893,546.5121759999893,None,1200,549.2479415999987,None,547.2489887999982,549.2647627999977,549.2479415999987,None,None,None,None,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1046,Gambling,2020.1.3,59.97508634968553,
0,4,o,#3ced1d,9,4,101,,,,,0,33,33,4,,,2.937152244503367,,,,,,,,,,,550.2688506999984,553.2180066000001,553.2012261999917,553.7018192999967,553.7018192999967,None,2,0.701950399990892,553.7018192999967,None,553.2012261999917,553.7018192999967,553.7018192999967,None,1200,556.4372464999906,None,554.4415813999949,556.4539210999937,556.4372464999906,None,None,None,None,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1046,Gambling,2020.1.3,59.97508634968553,
50,4,x,#ed1c24,59,54,150,,,,,0,34,34,97,,,3.514726821631952,,,,,,,,,,,557.4451045999886,560.9743088999967,560.9578111999872,561.4581143999967,561.4581143999967,None,2,0.7495993999909842,561.4581143999967,None,560.9578111999872,561.4581143999967,561.4581143999967,None,1150,564.2604226999974,None,562.2712860999891,564.277030799989,564.2604226999974,None,None,None,None,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1046,Gambling,2020.1.3,59.97508634968553,
50,5,x,#ed1c24,59,55,150,,,,,0,35,35,198,,,4.3982585064704525,,,,,,,,,,,565.2894518999965,569.6984022999968,569.6817217999924,570.1819566999911,570.1819566999911,None,2,0.565136999997776,570.1819566999911,None,569.6817217999924,570.1819566999911,570.1819566999911,None,1100,572.7674918999983,None,570.7724098999897,572.78418219999,572.7674918999983,None,None,None,None,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1046,Gambling,2020.1.3,59.97508634968553,
