SubsetIndex,rep_Practice,ImageFilePrac,ColourPrac,CorrAnsPrac,TriggerConditionPrac,TriggerSpecificPrac,Primer,Condition,ImageFile,Colour,CorrAns,TriggerCondition,TriggerSpecific,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Practices.thisRepN,Practices.thisTrialN,Practices.thisN,Practices.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,CountdownLoop.thisRepN,CountdownLoop.thisTrialN,CountdownLoop.thisN,CountdownLoop.thisIndex,jitter,jitter_black,Fixation.started,Fixation.stopped,square1.started,square1.stopped,image_black_practice.started,image_black_practice.stopped,image_prompt_practice.started,image_prompt_practice.stopped,response_practice.keys,response_practice.corr,response_practice.rt,breakslide.keys,breakslide.rt,image_black.started,image_black.stopped,image_prompt.started,image_prompt.stopped,Response.keys,Response.corr,Response.started,Response.stopped,square2.started,square2.stopped,showReminder,Reminder_Errors_Resp.keys,Reminder_Errors_Resp.started,Reminder_Errors_Resp.stopped,Response.rt,break_slide.started,break_slide.stopped,participant,session,EEGPort,LogFilesFolder,date,expName,psychopyVersion,frameRate,
Subset1,5,,,,,,Stimuli/neutral_75.png,neutral_man_woman,Stimuli/neutral_74.png,blue,4,4,47,0,0,0,0,,,,,0,10,10,78,,,,,1.1799561073002254,1.1751013590317967,247.69661990000168,None,247.69661990000168,None,,,,,,,,,,248.9108738000068,250.09661980000965,250.0795908,251.08058619999792,None,0,1.1857967099931557,2.186778309987858,250.0795908,251.08058619999792,False,None,None,None,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1149,Stroop,2020.1.3,59.774863951697725,
Subset1,5,,,,,,Stimuli/neutral_25.png,neutral_man_woman,Stimuli/neutral_23.png,yellow,3,4,42,0,0,0,0,,,,,0,11,11,32,,,,,1.047000583411867,1.3979268259330093,251.0995641000045,None,251.0995641000045,None,,,,,,,,,,252.18479480000678,253.5825068000122,253.5825068000122,None,3,1,1.4097927099937806,None,253.5825068000122,None,False,None,None,None,0.7129877000115812,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1149,Stroop,2020.1.3,59.774863951697725,
Subset1,5,,,,,,Stimuli/neutral_couple_15.png,neutral_couple,Stimuli/neutral_couple_11.png,green,1,5,51,0,0,0,0,,,,,0,12,12,53,,,,,1.3856356211164562,1.1896930580286496,254.32397320000746,None,254.32397320000746,None,,,,,,,,,,255.75038710000808,256.95229910001217,256.93542350000644,257.9361155000079,None,0,1.2010335099912481,2.2017015099991113,256.93542350000644,257.9361155000079,False,None,None,None,,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1149,Stroop,2020.1.3,59.774863951697725,
Subset1,5,,,,,,Stimuli/couple_35.png,erotic_couple,Stimuli/couple_32.png,red,2,2,23,0,0,0,0,,,,,0,13,13,59,,,,,1.2772273797596911,1.0263713525942246,257.95463050001126,None,257.95463050001126,None,,,,,,,,,,259.28792030000477,260.3218160000106,260.3046988999995,None,2,1,1.0324469799961662,None,260.3046988999995,None,False,None,None,None,0.9171744000050239,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1149,Stroop,2020.1.3,59.774863951697725,
Subset1,5,,,,,,Stimuli/woman_45.png,erotic_woman,Stimuli/woman_43.png,yellow,3,7,74,0,0,0,0,,,,,0,14,14,1,,,,,1.2309632659410752,1.4764590961711914,261.2463800000114,None,261.2463800000114,None,,,,,,,,,,262.52638390001084,264.0081906999985,263.9910780000064,None,3,1,1.4773132099944633,None,263.9910780000064,None,False,None,None,None,0.8158037000102922,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1149,Stroop,2020.1.3,59.774863951697725,
Subset1,5,,,,,,Stimuli/man_25.png,erotic_man,Stimuli/man_22.png,red,2,3,32,0,0,0,0,,,,,0,15,15,102,,,,,1.4351968300912756,1.0293165840288165,264.8274453000049,None,264.8274453000049,None,,,,,,,,,,266.29808360000607,267.3273052000004,267.3273052000004,None,2,1,1.0395668400014983,None,267.3273052000004,None,False,None,None,None,0.808741300003021,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1149,Stroop,2020.1.3,59.774863951697725,
Subset1,5,,,,,,Stimuli/positiv_85.png,positive_man_woman,Stimuli/positiv_81.png,green,1,6,68,0,0,0,0,,,,,0,16,16,50,,,,,1.4808518066816925,1.05713886755434,268.16359300000477,None,268.16359300000477,None,,,,,,,,,,269.6719849000074,270.7305480000068,270.7133385000052,None,1,1,1.0640828099858481,None,270.7133385000052,None,False,None,None,None,0.7405171999998856,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1149,Stroop,2020.1.3,59.774863951697725,
Subset1,5,,,,,,Stimuli/neutral_couple_25.png,neutral_couple,Stimuli/neutral_couple_22.png,red,2,5,52,0,0,0,0,,,,,0,17,17,31,,,,,1.1060310432449858,1.347422918557467,271.4874666000105,None,271.4874666000105,None,,,,,,,,,,272.63095020000765,273.9833532000048,273.9662573000096,None,4,0,1.3515258100087522,None,273.9662573000096,None,False,None,None,None,0.8490374000102747,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1149,Stroop,2020.1.3,59.774863951697725,
Subset1,5,,,,,,Stimuli/neutral_55.png,neutral_man_woman,Stimuli/neutral_51.png,green,1,4,45,0,0,0,0,,,,,0,18,18,56,,,,,1.438299238735087,1.4444218828120556,274.84032319999824,None,274.84032319999824,None,,,,,,,,,,276.3076025000046,277.75273600000946,277.75273600000946,None,3,0,1.4557141400000546,None,277.75273600000946,None,False,None,None,None,0.7924964999983786,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1149,Stroop,2020.1.3,59.774863951697725,
Subset1,5,,,,,,Stimuli/couple_35.png,erotic_couple,Stimuli/couple_32.png,red,2,2,23,0,0,0,0,,,,,0,19,19,83,,,,,1.1790227709329724,1.1375666111010365,278.5723613000009,None,278.5723613000009,None,,,,,,,,,,279.78254320000997,280.9222720000107,280.9052134000085,None,2,1,1.1450289100030204,None,280.9052134000085,None,False,None,None,None,0.867836300007184,,,IA6LI11,1,Serial_COM3,C:\Users\EEG\Desktop\FINALCoScienceTasksLogfiles\,2022_Jan_05_1149,Stroop,2020.1.3,59.774863951697725,
