SubsetIndex,rep_Practice,ImageFilePrac,ColourPrac,CorrAnsPrac,TriggerConditionPrac,TriggerSpecificPrac,Primer,Condition,ImageFile,Colour,CorrAns,TriggerCondition,TriggerSpecific,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Practices.thisRepN,Practices.thisTrialN,Practices.thisN,Practices.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,CountdownLoop.thisRepN,CountdownLoop.thisTrialN,CountdownLoop.thisN,CountdownLoop.thisIndex,jitter,jitter_black,Fixation.started,Fixation.stopped,square1.started,square1.stopped,image_black_practice.started,image_black_practice.stopped,image_prompt_practice.started,image_prompt_practice.stopped,response_practice.keys,response_practice.corr,response_practice.rt,breakslide.keys,breakslide.rt,Trigger_Picture,Trigger_Target,Trigger_Response,image_black.started,image_black.stopped,image_prompt.started,image_prompt.stopped,Response.keys,Response.corr,Response.rt,Response.started,Response.stopped,square2.started,square2.stopped,showReminder,Reminder_Errors_Resp.keys,Reminder_Errors_Resp.started,Reminder_Errors_Resp.stopped,break_slide.started,break_slide.stopped,participant,session,EEGPort,LogFilesFolder,date,expName,psychopyVersion,frameRate,
Subset2,3,,,,,,Stimuli/man_35.png,erotic_man,Stimuli/man_32.png,red,2,3,33,0,1,1,1,,,,,0,5,5,22,,,,,1.2923692313375934,1.309063807555234,534.3695211758168,None,534.3695211758168,None,,,,,,,,,,33,99,1,535.7206717453046,537.0384576228425,537.0050967230982,None,2,1,0.5040931015428214,1.3086786937910801,None,537.0050967230982,None,False,None,None,None,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1133,Stroop,2020.1.3,59.94717155343167,
Subset2,3,,,,,,Stimuli/couple_75.png,erotic_couple,Stimuli/couple_72.png,red,2,2,27,0,1,1,1,,,,,0,6,6,60,,,,,1.2352985859051682,1.3285465164829144,537.5388845375783,None,537.5388845375783,None,,,,,,,,,,27,99,1,538.8066302323314,540.1410962680329,540.1244166932847,None,2,1,0.4276927205701213,1.3365512815471448,None,540.1244166932847,None,False,None,None,None,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1133,Stroop,2020.1.3,59.94717155343167,
Subset2,3,,,,,,Stimuli/neutral_couple_55.png,neutral_couple,Stimuli/neutral_couple_54.png,blue,4,5,55,0,1,1,1,,,,,0,7,7,4,,,,,1.2391777032170608,1.0680566298940866,540.5747990496147,None,540.5747990496147,None,,,,,,,,,,55,99,1,541.8592272361984,542.9268002397839,542.9101200816203,None,4,1,0.6249462892556039,1.0725047366104263,None,542.9101200816203,None,False,None,None,None,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1133,Stroop,2020.1.3,59.94717155343167,
Subset2,3,,,,,,Stimuli/man_85.png,erotic_man,Stimuli/man_82.png,red,2,3,38,0,1,1,1,,,,,0,8,8,54,,,,,1.3381027206229015,1.309755861745436,543.560674253993,None,543.560674253993,None,,,,,,,,,,38,99,1,544.9618635477254,546.2796599267531,546.2629713090555,None,2,1,0.3739956856388744,1.3185130473721074,None,546.2629713090555,None,False,None,None,None,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1133,Stroop,2020.1.3,59.94717155343167,
Subset2,3,,,,,,Stimuli/couple_45.png,erotic_couple,Stimuli/couple_44.png,blue,4,2,24,0,1,1,1,,,,,0,9,9,50,,,,,1.4218555820705592,1.2905323663482222,546.663314066016,None,546.663314066016,None,,,,,,,,,,24,99,1,548.1479105681465,549.4490145372711,549.4156536375267,None,4,1,0.2602735929831397,1.2932079572110524,None,549.4156536375267,None,False,None,None,None,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1133,Stroop,2020.1.3,59.94717155343167,
Subset2,3,,,,,,Stimuli/positiv_45.png,positive_man_woman,Stimuli/positiv_44.png,blue,4,6,64,0,1,1,1,,,,,0,10,10,37,,,,,1.470836922057733,1.3090799551482797,549.6992291614715,None,549.6992291614715,None,,,,,,,,,,64,99,1,551.2338681800484,552.5516555161266,552.5182919910094,None,4,1,0.5775545238811901,1.317599709458591,None,552.5182919910094,None,False,None,None,None,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1133,Stroop,2020.1.3,59.94717155343167,
Subset2,3,,,,,,Stimuli/neutral_25.png,neutral_man_woman,Stimuli/neutral_23.png,yellow,3,4,42,0,1,1,1,,,,,0,11,11,19,,,,,1.4622321905117197,1.2279535763634755,553.1188042303511,None,553.1188042303511,None,,,,,,,,,,42,99,1,554.6534447074682,555.8878251268561,555.8544642271117,None,3,1,0.4763117017228069,1.2279090220908984,None,555.8544642271117,None,False,None,None,None,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1133,Stroop,2020.1.3,59.94717155343167,
Subset2,3,,,,,,Stimuli/tree_55.png,tree,Stimuli/tree_54.png,blue,4,1,15,0,1,1,1,,,,,0,12,12,106,,,,,1.0421737935970918,1.0154618927706605,556.3548899750149,None,556.3548899750149,None,,,,,,,,,,15,99,1,557.4558282539674,558.4733572825644,558.4566771244008,None,4,1,0.5250534919650818,1.0228905642670725,None,558.4566771244008,None,False,None,None,None,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1133,Stroop,2020.1.3,59.94717155343167,
Subset2,3,,,,,,Stimuli/positiv_55.png,positive_man_woman,Stimuli/positiv_51.png,green,1,6,65,0,1,1,1,,,,,0,13,13,15,,,,,1.2862908729873235,1.4023860245239514,559.0071468472925,None,559.0071468472925,None,,,,,,,,,,65,99,1,560.374974949571,561.7928490687955,561.7594855436782,None,1,1,0.42617146307566145,1.4129923266209516,None,561.7594855436782,None,False,None,None,None,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1133,Stroop,2020.1.3,59.94717155343167,
Subset2,3,,,,,,Stimuli/man_45.png,erotic_man,Stimuli/man_44.png,blue,4,3,34,0,1,1,1,,,,,0,14,14,105,,,,,1.1451537528851574,1.049609383066806,562.2098708170888,None,562.2098708170888,None,,,,,,,,,,34,99,0,563.4108932538147,564.4617860992366,564.4451053576558,565.4459565617544,None,0,,1.0541806285455095,2.0550376668034005,564.4451053576558,565.4459565617544,False,None,None,None,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1133,Stroop,2020.1.3,59.94717155343167,
Subset2,3,,,,,,Stimuli/neutral_couple_65.png,neutral_couple,Stimuli/neutral_couple_63.png,yellow,3,5,56,0,1,1,1,,,,,0,15,15,53,,,,,1.4205245703077345,1.0021733028301716,565.462636719918,None,565.462636719918,None,,,,,,,,,,56,99,1,566.9472349722946,567.964766917974,567.9314028094414,None,3,1,0.5701168436607986,1.0138861200921383,None,567.9314028094414,None,False,None,None,None,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1133,Stroop,2020.1.3,59.94717155343167,
